Model,Metric,Value
Ridge,MSE,1038893.5629306415
phi,MSE,12472449.66651304
GE,MSE,740383.7397372415
Ridge,RMSE,1019.2612829547885
phi,RMSE,3531.635551201885
GE,RMSE,860.455541987639
Ridge,r,0.6785186565941441
phi,r,0.6315773039882768
GE,r,0.8505519691157388
Ridge,R2,0.46038755649478136
phi,R2,-5.478323941152562
GE,R2,0.6154367558077334
Ridge,PCC,0.46038756734632286
phi,PCC,0.39888989091310106
GE,PCC,0.7234386521666599
Ridge,r/s,13.091426968446147
phi,r/s,13.091426968446147
GE,r/s,101.8882581695324
Ridge,MAE,41506.30955097258
phi,MAE,221162.18328963898
GE,MAE,26823.887446656518
Ridge,MSE,1496322.3544404458
phi,MSE,26948134.784549102
GE,MSE,1097367.5721368317
Ridge,RMSE,1223.2425574841834
phi,RMSE,5191.159291001299
GE,RMSE,1047.553135710467
Ridge,r,0.717796969655598
phi,r,0.6786130974717118
GE,r,0.8405568333839295
Ridge,R2,0.5152324789030021
phi,R2,-7.7304586868775065
GE,R2,0.644482917669264
Ridge,PCC,0.5152324896467595
phi,PCC,0.4605157360601512
GE,PCC,0.7065357901484197
Ridge,r/s,11.736858345589306
phi,r/s,11.736858345589306
GE,r/s,161.52790638999443
Ridge,MAE,32570.431624166045
phi,MAE,148599.5016382777
GE,MAE,19674.80091149466
Ridge,MSE,1025934.8351106822
phi,MSE,12568813.595957521
GE,MSE,853794.2185285497
Ridge,RMSE,1012.8844134997252
phi,RMSE,3545.2522612583607
GE,RMSE,924.0098584585284
Ridge,r,0.6609548156577453
phi,r,0.6165338337892832
GE,r,0.8218988588186384
Ridge,R2,0.43686126097562994
phi,R2,-5.899059859582927
GE,R2,0.5313497669113552
Ridge,PCC,0.4368612683411639
phi,PCC,0.3801139682069112
GE,PCC,0.6755177341273778
Ridge,r/s,13.04036324125003
phi,r/s,13.04036324125003
GE,r/s,102.23709824608679
Ridge,MAE,37622.49917372948
phi,MAE,200349.89788450638
GE,MAE,27688.041495731897
Ridge,MSE,1217988.9838767827
phi,MSE,22354898.613547724
GE,MSE,1028970.6371141714
Ridge,RMSE,1103.6253820372121
phi,RMSE,4728.096722101582
GE,RMSE,1014.3818990469869
Ridge,r,0.7509150934052727
phi,r,0.7191253722811985
GE,r,0.8186923808989438
Ridge,R2,0.5638734641398979
phi,R2,-7.004640945764711
GE,R2,0.6315554529582685
Ridge,PCC,0.56387347750385
phi,PCC,0.5171413010585724
GE,PCC,0.670257214541981
Ridge,r/s,10.693659978889967
phi,r/s,10.693659978889967
GE,r/s,161.3486975728464
