Model,Metric,Value
ADD_GE,MSE,206877.9796708908
PW_L,MSE,3993486.9451211123
PW_GE,MSE,80095.59481869586
ADD_L,RMSE,2083.4903208629407
ADD_GE,RMSE,454.8384105051934
PW_L,RMSE,1998.3710729294278
PW_GE,RMSE,283.0116513832882
ADD_L,r,0.584859107849022
ADD_GE,r,0.9686814071532266
PW_L,r,0.8091071554507856
PW_GE,r,0.9889475246044064
ADD_L,PCC,0.3420601760339538
ADD_GE,PCC,0.9383436685643538
PW_L,PCC,0.6546543890016605
PW_GE,PCC,0.9780172064211841
ADD_L,MAE,47465.58197395169
ADD_GE,MAE,9011.622793080855
PW_L,MAE,43655.26972961426
PW_GE,MAE,6439.728138826331
ADD_L,MSE,3413038.9000118496
ADD_GE,MSE,136927.59740643835
PW_L,MSE,3040238.416503094
PW_GE,MSE,77153.09785838252
ADD_L,RMSE,1847.4411763333223
ADD_GE,RMSE,370.0372919131778
PW_L,RMSE,1743.6279466970855
PW_GE,RMSE,277.76446471494967
ADD_L,r,0.6791754463800972
ADD_GE,r,0.9723661617734607
PW_L,r,0.8236610980927648
PW_GE,r,0.9897267460325333
ADD_L,PCC,0.46127928696560505
ADD_GE,PCC,0.9454959525620537
PW_L,PCC,0.6784176045113808
PW_GE,PCC,0.9795590318121473
ADD_L,MAE,39934.670111442094
ADD_GE,MAE,12510.883713702766
PW_L,MAE,38623.44940029844
PW_GE,MAE,7928.152841684769
ADD_L,MSE,2296496.357203869
ADD_GE,MSE,321526.28494364634
PW_L,MSE,2190874.11027758
PW_GE,MSE,141121.0352182666
ADD_L,RMSE,1515.4195317481788
ADD_GE,RMSE,567.0328781857771
PW_L,RMSE,1480.1601637247168
PW_GE,RMSE,375.6607980855423
ADD_L,r,0.49574672384819995
ADD_GE,r,0.9208392233328433
PW_L,r,0.7936592704896791
PW_GE,r,0.9680322569652325
ADD_L,PCC,0.24576481420622337
ADD_GE,PCC,0.8479448752282355
PW_L,PCC,0.6298950376342084
PW_GE,PCC,0.9370864505252027
ADD_L,MAE,55618.6685968905
ADD_GE,MAE,12986.991914826995
PW_L,MAE,49264.50228395267
PW_GE,MAE,7240.448691115087
ADD_L,MSE,4385091.338988672
ADD_GE,MSE,271366.3135226882
PW_L,MSE,3667794.844058683
PW_GE,MSE,83861.19556301399
ADD_L,RMSE,2094.060968307435
ADD_GE,RMSE,520.9283189870639
PW_L,RMSE,1915.1487785701358
PW_GE,RMSE,289.5879755152378
ADD_L,r,0.6204415015953144
ADD_GE,r,0.959488542782284
PW_L,r,0.8376046661529445
PW_GE,r,0.9864598183276967
ADD_L,PCC,0.3849476569018488
ADD_GE,PCC,0.9206182637304717
PW_L,PCC,0.7015815767611842
PW_GE,PCC,0.973102973175112
ADD_L,MAE,21607.769871809043
ADD_GE,MAE,10338.482969284058
PW_L,MAE,20451.938108522063
PW_GE,MAE,5899.458244129102
ADD_L,MSE,897191.1844278432
ADD_GE,MSE,298844.7924027326
PW_L,MSE,844791.8544526891
PW_GE,MSE,141433.78454944887
ADD_L,RMSE,947.2017654269038
ADD_GE,RMSE,546.6669849211058
PW_L,RMSE,919.1255923173335
PW_GE,RMSE,376.07683330597337
ADD_L,r,0.4653349030596969
ADD_GE,r,0.8909160034900178
PW_L,r,0.7111973070864854
PW_GE,r,0.929362300076569
ADD_L,PCC,0.21653657200557713
ADD_GE,PCC,0.7937313252746242
PW_L,PCC,0.505801609607069
PW_GE,PCC,0.8637142848036083
ADD_L,MAE,47360.36074397028
ADD_GE,MAE,10558.863161631993
PW_L,MAE,39099.24562216778
PW_GE,MAE,6132.5048925438705
ADD_L,MSE,2974475.4882343025
ADD_GE,MSE,195162.03698580182
PW_L,MSE,2205945.477601704
PW_GE,MSE,69281.08036993757
ADD_L,RMSE,1724.6667759988602
ADD_GE,RMSE,441.7714759757604
PW_L,RMSE,1485.2425652403394
PW_GE,RMSE,263.21299430297427
ADD_L,r,0.6987367235886695
ADD_GE,r,0.95260385093723
PW_L,r,0.8612366329300352
PW_GE,r,0.9844589763471175
ADD_L,PCC,0.4882330088914288
ADD_GE,PCC,0.9074540968204415
PW_L,PCC,0.7417285379006621
PW_GE,PCC,0.9691594761104116
ADD_L,MAE,40628.486402433744
ADD_GE,MAE,13393.10751879945
PW_L,MAE,14372.472540485614
PW_GE,MAE,5830.08307889043
ADD_L,MSE,1717004.7527710611
ADD_GE,MSE,261020.1504960266
PW_L,MSE,227774.68519540894
PW_GE,MSE,63227.36914629971
ADD_L,RMSE,1310.345279981983
ADD_GE,RMSE,510.90131189499465
PW_L,RMSE,477.25746216838655
PW_GE,RMSE,251.45053021677984
ADD_L,r,0.7663615756173378
ADD_GE,r,0.9381434673582923
PW_L,r,0.9425985037679128
PW_GE,r,0.9852050945318421
ADD_L,PCC,0.5873100645826873
ADD_GE,PCC,0.8801131653470377
PW_L,PCC,0.8884919393055066
PW_GE,PCC,0.9706290782914951
ADD_L,MAE,30661.16612008153
ADD_GE,MAE,13864.521736495348
PW_L,MAE,28503.490188423464
PW_GE,MAE,8402.01640411299
ADD_L,MSE,1740761.833986607
ADD_GE,MSE,458446.8259446495
PW_L,MSE,1595299.4229856557
PW_GE,MSE,223410.6764990155
ADD_L,RMSE,1319.379336652885
ADD_GE,RMSE,677.0870150465519
PW_L,RMSE,1263.0516311638473
PW_GE,RMSE,472.66338603599866
ADD_L,r,0.545609511559014
ADD_GE,r,0.8767277723604439
PW_L,r,0.7495519313113772
PW_GE,r,0.9455032722818677
ADD_L,PCC,0.29768973910366625
ADD_GE,PCC,0.7686515868281053
PW_L,PCC,0.5618280977326136
PW_GE,PCC,0.8939764378957205
ADD_L,MAE,50261.797274219745
ADD_GE,MAE,22182.007944963414
PW_L,MAE,21034.035857453637
PW_GE,MAE,10007.832409255358
ADD_L,MSE,1830871.8562319137
ADD_GE,MSE,715076.8452229402
PW_L,MSE,510527.5937365938
PW_GE,MSE,171523.72430052812
ADD_L,RMSE,1353.097134810326
ADD_GE,RMSE,845.6221645764379
PW_L,RMSE,714.5121368714416
PW_GE,RMSE,414.15422767433887
ADD_L,r,0.8308467829129016
ADD_GE,r,0.9359949877872886
PW_L,r,0.9516386450205154
PW_GE,r,0.9841854091086839
ADD_L,PCC,0.6903063766767197
ADD_GE,PCC,0.8760866171629259
PW_L,PCC,0.9056161106964824
PW_GE,PCC,0.9686209195024275
ADD_L,MAE,25212.875120824694
ADD_GE,MAE,5943.509718213762
PW_L,MAE,21118.157751044448
PW_GE,MAE,4470.320017444844
ADD_L,MSE,1065420.8143656298
ADD_GE,MSE,76287.824356666
PW_L,MSE,849679.7239409394
PW_GE,MSE,60589.92622074049
ADD_L,RMSE,1032.1922371175003
ADD_GE,RMSE,276.2025060651442
PW_L,RMSE,921.7807352841236
PW_GE,RMSE,246.15021068595593
ADD_L,r,0.6645595246943803
ADD_GE,r,0.9590327760907371
PW_L,r,0.8174066022793705
PW_GE,r,0.9686262322676888
ADD_L,PCC,0.44163936186202096
ADD_GE,PCC,0.9197438656163072
PW_L,PCC,0.6681535534499057
PW_GE,PCC,0.9382367778370978
ADD_L,MAE,38198.11961224614
ADD_GE,MAE,7961.896470128273
PW_L,MAE,34832.43922144052
PW_GE,MAE,5880.299317106908
ADD_L,MSE,2247485.5294949096
ADD_GE,MSE,118752.47905387772
PW_L,MSE,1986038.302419818
PW_GE,MSE,65359.37856675959
ADD_L,RMSE,1499.1616088650715
ADD_GE,RMSE,344.6048157729049
PW_L,RMSE,1409.2687119282177
PW_GE,RMSE,255.6548035276466
ADD_L,r,0.633202985762784
ADD_GE,r,0.9628231546047032
PW_L,r,0.8366295642486961
PW_GE,r,0.9866602984432495
ADD_L,PCC,0.40094602117890527
ADD_GE,PCC,0.9270284270429535
PW_L,PCC,0.699949027774963
PW_GE,PCC,0.973498544524124
ADD_L,MAE,48313.47680107428
ADD_GE,MAE,8070.741267496225
PW_L,MAE,45498.09717754441
PW_GE,MAE,4902.37516870304
ADD_L,MSE,3628961.6848577196
ADD_GE,MSE,113767.08485573086
PW_L,MSE,3354519.600276926
PW_GE,MSE,47869.744008714064
ADD_L,RMSE,1904.9833817799356
ADD_GE,RMSE,337.2937664050892
PW_L,RMSE,1831.5347663303926
PW_GE,RMSE,218.7915537874213
ADD_L,r,0.6348271747331236
ADD_GE,r,0.9790776065386309
PW_L,r,0.8261730556604132
PW_GE,r,0.9910406493162289
ADD_L,PCC,0.4030055417796402
ADD_GE,PCC,0.9585929596254142
PW_L,PCC,0.6825619178992637
PW_GE,PCC,0.9821615685971344
ADD_L,MAE,58842.50583644788
